Name	ID	Category	Year	Rank	Published	Ratings	Owned	Sessions	Total	Digital	Incomplete	Missing	Meaningful	Solo	2P	3P	4P	5P	6P	7P	8P	9+P
Love Letter	129622	Family	2012	281	2-4	55527	92151	209763	255896.000	0.017	0.613	0.707	75005.000	0.000	0.253	0.345	0.402	0.000	0.000	0.000	0.000	0.000
Lost Cities	50	Family	1999	320	2-2	36990	51309	155201	207785.000	0.053	0.154	0.740	54008.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Takenoko	70919	Family	2011	279	2-4	34797	52778	93428	96417.000	0.075	0.193	0.636	35079.000	0.000	0.423	0.290	0.287	0.000	0.000	0.000	0.000	0.000
Through the Ages: A Story of Civilization	25613	Strategy	2006	46	2-4	17954	17407	58181	54366.000	0.144	1.302	0.874	6868.000	0.000	0.482	0.354	0.165	0.000	0.000	0.000	0.000	0.000
Tzolk'in: The Mayan Calendar	126163	Strategy	2012	40	2-4	30470	35101	78078	77505.000	0.066	0.410	0.670	25614.000	0.000	0.401	0.283	0.316	0.000	0.000	0.000	0.000	0.000
Innovation	63888	Strategy	2010	331	2-4	14734	18662	72866	78558.000	0.093	0.452	0.760	18832.000	0.000	0.655	0.227	0.118	0.000	0.000	0.000	0.000	0.000
6 nimmt!	432	Family	1994	596	2-10	20332	28123	107824	121133.000	0.097	0.339	0.706	35560.000	0.000	0.085	0.173	0.273	0.204	0.138	0.069	0.035	0.024
Hearts	6887	Family	1850	1833	3-7	3796	2016	8994	10287.000	0.140	0.522	0.783	2228.000	0.000	0.000	0.140	0.660	0.181	0.015	0.004	0.000	0.000
Russian Railroads	144733	Strategy	2013	88	2-4	14717	14706	44909	42200.000	0.117	0.189	0.678	13590.000	0.000	0.397	0.287	0.316	0.000	0.000	0.000	0.000	0.000
Tarot	4505	Abstract	1425	3093	2-8	709	1374	1804	2602.000	0.036	0.268	0.734	693.000	0.000	0.053	0.139	0.260	0.522	0.025	0.001	0.000	0.000
The Builders: Middle Ages	144553	Family	2013	1690	2-4	3919	5973	11262	11187.000	0.115	0.196	0.676	3630.000	0.000	0.533	0.271	0.196	0.000	0.000	0.000	0.000	0.000
Backgammon	2397	Abstract	-3000	1274	2-2	11601	17597	39183	65817.000	0.065	0.046	0.813	12287.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Tokaido	123540	Family	2012	546	2-5	20435	29894	47109	46155.000	0.117	0.110	0.648	16267.000	0.000	0.252	0.279	0.297	0.172	0.000	0.000	0.000	0.000
Bubblee Pop	192343	Abstract	2016	3428	1-2	983	1448	5527	4441.000	0.289	0.135	0.469	2357.000	0.136	0.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Jaipur	54043	Family	2009	135	2-2	36699	53440	127411	138165.000	0.090	0.345	0.638	49961.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Saboteur	9220	Party	2004	1077	3-10	25445	40442	49245	60973.000	0.030	0.498	0.788	12921.000	0.000	0.000	0.110	0.199	0.214	0.210	0.138	0.076	0.053
Eminent Domain	68425	Strategy	2011	554	2-4	9477	12521	30130	32185.000	0.054	0.325	0.761	7681.000	0.000	0.482	0.296	0.222	0.000	0.000	0.000	0.000	0.000
Targi	118048	Strategy	2012	123	2-2	14246	22015	37923	35059.000	0.132	0.361	0.581	14677.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Coup	131357	Party	2012	500	2-6	35663	58751	116462	188795.000	0.006	0.064	0.695	57654.000	0.000	0.078	0.226	0.332	0.231	0.134	0.000	0.000	0.000
P.I.	129050	Family	2012	1913	2-5	1692	2232	4324	3814.000	0.162	1.903	0.723	1057.000	0.000	0.249	0.308	0.274	0.168	0.000	0.000	0.000	0.000
Ponte del Diavolo	27172	Abstract	2007	2967	2-2	1068	1411	2878	2879.000	0.164	0.346	0.886	327.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Chess	171	Abstract	1475	443	2-2	28444	39602	60025	93946.000	0.049	0.160	0.804	18400.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Eruption	88594	Family	2011	3910	2-6	882	945	2149	1840.000	0.188	0.271	0.780	405.000	0.000	0.178	0.242	0.244	0.200	0.136	0.000	0.000	0.000
The Builders: Antiquity	161226	Family	2015	2094	2-4	1373	2894	3309	3092.000	0.147	0.226	0.604	1224.000	0.000	0.557	0.275	0.168	0.000	0.000	0.000	0.000	0.000
Solo	3347		1993	19799	2-10	765	1148	3206	3976.000	0.172	0.126	0.799	798.000	0.000	0.180	0.231	0.292	0.143	0.079	0.038	0.034	0.004
Tash-Kalar: Arena of Legends	146278	Abstract	2013	558	2-4	6024	7885	17051	16808.000	0.135	0.668	0.708	4905.000	0.000	0.869	0.073	0.057	0.000	0.000	0.000	0.000	0.000
Armadöra	8229	Abstract	2003	3462	2-4	936	1631	1618	1750.000	0.056	0.114	0.667	582.000	0.000	0.447	0.304	0.249	0.000	0.000	0.000	0.000	0.000
Amyitis	29934	Strategy	2007	1102	2-4	2931	3648	5151	5212.000	0.039	0.268	0.843	817.000	0.000	0.378	0.333	0.289	0.000	0.000	0.000	0.000	0.000
GOSU	66587	Strategy	2010	1970	2-4	2499	2860	5434	6631.000	0.035	0.823	0.865	892.000	0.000	0.738	0.158	0.104	0.000	0.000	0.000	0.000	0.000
Expedition: Northwest Passage	71074	Strategy	2010	1388	1-4	1772	2206	4042	3702.000	0.145	0.404	0.720	1036.000	0.202	0.301	0.223	0.274	0.000	0.000	0.000	0.000	0.000
